order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,ano,nome_mes,dia_semana
56,2022-11-23,Panipuri,Fastfood,20,11,220,Cash,female,Midnight,2022,November,Wednesday
57,2022-08-04,Panipuri,Fastfood,20,14,280,Online,female,Morning,2022,August,Thursday
58,2023-02-03,Vadapav,Fastfood,20,6,120,Online,female,Morning,2023,February,Friday
59,2022-07-01,Vadapav,Fastfood,20,5,100,Cash,male,Morning,2022,July,Friday
60,2022-06-11,Cold coffee,Beverages,40,2,80,Online,male,Night,2022,June,Saturday
61,2022-12-25,Vadapav,Fastfood,20,14,280,Cash,female,Afternoon,2022,December,Sunday
62,2022-10-17,Sugarcane juice,Beverages,25,3,75,Cash,male,Afternoon,2022,October,Monday
63,2022-12-01,Sandwich,Fastfood,60,7,420,Online,female,Morning,2022,December,Thursday
64,2022-12-09,Cold coffee,Beverages,40,1,40,Cash,male,Morning,2022,December,Friday
65,2022-07-25,Aalopuri,Fastfood,20,4,80,Cash,male,Morning,2022,July,Monday
66,2022-04-05,Frankie,Fastfood,50,2,100,Cash,female,Morning,2022,April,Tuesday
67,2022-05-15,Aalopuri,Fastfood,20,9,180,Cash,male,Midnight,2022,May,Sunday
68,2022-12-17,Cold coffee,Beverages,40,2,80,desconhecido,male,Night,2022,December,Saturday
69,2023-01-10,Vadapav,Fastfood,20,7,140,Cash,male,Midnight,2023,January,Tuesday
70,2022-05-09,Cold coffee,Beverages,40,14,560,desconhecido,female,Morning,2022,May,Monday
71,2022-12-05,Cold coffee,Beverages,40,6,240,Online,male,Night,2022,December,Monday
72,2023-03-09,Frankie,Fastfood,50,13,650,Online,male,Afternoon,2023,March,Thursday
73,2022-07-29,Panipuri,Fastfood,20,5,100,Cash,male,Midnight,2022,July,Friday
74,2022-08-15,Cold coffee,Beverages,40,10,400,Online,female,Evening,2022,August,Monday
75,2023-02-02,Cold coffee,Beverages,40,6,240,Online,female,Afternoon,2023,February,Thursday
76,2022-08-17,Vadapav,Fastfood,20,9,180,Online,male,Morning,2022,August,Wednesday
77,2023-02-04,Sugarcane juice,Beverages,25,12,300,Cash,female,Midnight,2023,February,Saturday
78,2022-10-01,Vadapav,Fastfood,20,4,80,Cash,female,Evening,2022,October,Saturday
79,2022-11-05,Panipuri,Fastfood,20,6,120,Online,male,Night,2022,November,Saturday
80,2022-05-24,Frankie,Fastfood,50,13,650,Cash,male,Evening,2022,May,Tuesday
81,2022-11-19,Frankie,Fastfood,50,12,600,Online,female,Night,2022,November,Saturday
82,2022-07-17,Frankie,Fastfood,50,3,150,Online,female,Evening,2022,July,Sunday
83,2022-11-13,Frankie,Fastfood,50,11,550,desconhecido,male,Evening,2022,November,Sunday
84,2023-03-03,Panipuri,Fastfood,20,13,260,Cash,male,Midnight,2023,March,Friday
85,2022-08-19,Aalopuri,Fastfood,20,3,60,Online,female,Night,2022,August,Friday
86,2023-03-09,Aalopuri,Fastfood,20,15,300,Cash,male,Morning,2023,March,Thursday
87,2022-05-29,Aalopuri,Fastfood,20,8,160,Cash,male,Night,2022,May,Sunday
88,2022-07-07,Cold coffee,Beverages,40,10,400,Cash,male,Evening,2022,July,Thursday
89,2022-12-23,Aalopuri,Fastfood,20,14,280,Cash,male,Evening,2022,December,Friday
90,2022-10-29,Vadapav,Fastfood,20,15,300,Online,male,Night,2022,October,Saturday
91,2023-03-22,Cold coffee,Beverages,40,6,240,desconhecido,female,Evening,2023,March,Wednesday
92,2022-05-13,Aalopuri,Fastfood,20,15,300,Cash,male,Afternoon,2022,May,Friday
93,2022-07-03,Cold coffee,Beverages,40,2,80,Online,female,Midnight,2022,July,Sunday
94,2022-09-14,Aalopuri,Fastfood,20,15,300,desconhecido,female,Night,2022,September,Wednesday
95,2022-05-12,Sugarcane juice,Beverages,25,8,200,Online,male,Night,2022,May,Thursday
96,2022-08-22,Sandwich,Fastfood,60,15,900,desconhecido,male,Morning,2022,August,Monday
97,2023-03-29,Cold coffee,Beverages,40,13,520,Online,male,Evening,2023,March,Wednesday
98,2022-12-24,Vadapav,Fastfood,20,1,20,Online,male,Morning,2022,December,Saturday
99,2022-09-11,Sugarcane juice,Beverages,25,3,75,Cash,male,Evening,2022,September,Sunday
100,2022-05-08,Panipuri,Fastfood,20,11,220,desconhecido,male,Morning,2022,May,Sunday
101,2023-03-26,Vadapav,Fastfood,20,3,60,Online,female,Morning,2023,March,Sunday
102,2023-03-13,Cold coffee,Beverages,40,14,560,Cash,male,Morning,2023,March,Monday
103,2023-03-14,Cold coffee,Beverages,40,8,320,Online,female,Midnight,2023,March,Tuesday
104,2022-10-27,Cold coffee,Beverages,40,13,520,Online,male,Morning,2022,October,Thursday
105,2023-01-25,Panipuri,Fastfood,20,8,160,Cash,female,Evening,2023,January,Wednesday
106,2023-02-25,Frankie,Fastfood,50,9,450,Cash,female,Evening,2023,February,Saturday
107,2023-02-07,Sandwich,Fastfood,60,4,240,Online,male,Afternoon,2023,February,Tuesday
108,2022-08-06,Panipuri,Fastfood,20,5,100,Online,male,Afternoon,2022,August,Saturday
109,2022-08-08,Cold coffee,Beverages,40,12,480,desconhecido,male,Afternoon,2022,August,Monday
110,2022-11-16,Panipuri,Fastfood,20,2,40,Online,female,Morning,2022,November,Wednesday
111,2022-09-04,Sandwich,Fastfood,60,8,480,Cash,female,Midnight,2022,September,Sunday
112,2023-02-24,Sandwich,Fastfood,60,7,420,Cash,male,Morning,2023,February,Friday
113,2022-12-12,Aalopuri,Fastfood,20,8,160,Cash,male,Afternoon,2022,December,Monday
114,2022-08-14,Aalopuri,Fastfood,20,10,200,Online,male,Afternoon,2022,August,Sunday
115,2023-01-12,Aalopuri,Fastfood,20,13,260,desconhecido,male,Evening,2023,January,Thursday
116,2022-08-26,Sugarcane juice,Beverages,25,13,325,Cash,male,Evening,2022,August,Friday
117,2023-03-09,Frankie,Fastfood,50,7,350,Online,female,Evening,2023,March,Thursday
118,2022-07-06,Sandwich,Fastfood,60,1,60,Online,male,Midnight,2022,July,Wednesday
119,2022-05-12,Panipuri,Fastfood,20,10,200,Cash,male,Evening,2022,May,Thursday
120,2022-07-10,Frankie,Fastfood,50,2,100,Cash,female,Evening,2022,July,Sunday
121,2022-08-26,Cold coffee,Beverages,40,8,320,Cash,male,Afternoon,2022,August,Friday
122,2022-04-24,Panipuri,Fastfood,20,3,60,desconhecido,female,Night,2022,April,Sunday
123,2022-06-09,Cold coffee,Beverages,40,6,240,Online,male,Evening,2022,June,Thursday
124,2022-10-14,Sugarcane juice,Beverages,25,13,325,desconhecido,female,Evening,2022,October,Friday
125,2022-04-10,Vadapav,Fastfood,20,7,140,Cash,female,Midnight,2022,April,Sunday
126,2022-04-08,Panipuri,Fastfood,20,11,220,Online,female,Night,2022,April,Friday
127,2022-12-03,Aalopuri,Fastfood,20,1,20,desconhecido,female,Morning,2022,December,Saturday
128,2022-08-07,Vadapav,Fastfood,20,11,220,Online,male,Midnight,2022,August,Sunday
129,2022-10-19,Panipuri,Fastfood,20,13,260,Cash,female,Morning,2022,October,Wednesday
130,2022-12-28,Sugarcane juice,Beverages,25,7,175,Cash,male,Night,2022,December,Wednesday
131,2023-01-19,Sandwich,Fastfood,60,8,480,Cash,male,Night,2023,January,Thursday
132,2022-12-05,Vadapav,Fastfood,20,4,80,Online,female,Night,2022,December,Monday
133,2022-12-20,Aalopuri,Fastfood,20,5,100,Online,male,Midnight,2022,December,Tuesday
134,2022-07-17,Aalopuri,Fastfood,20,12,240,Online,female,Night,2022,July,Sunday
135,2023-01-14,Aalopuri,Fastfood,20,8,160,Online,male,Midnight,2023,January,Saturday
136,2022-08-24,Aalopuri,Fastfood,20,15,300,Online,male,Morning,2022,August,Wednesday
137,2023-03-19,Sugarcane juice,Beverages,25,6,150,desconhecido,male,Afternoon,2023,March,Sunday
138,2022-09-01,Sandwich,Fastfood,60,15,900,Online,male,Night,2022,September,Thursday
139,2023-02-26,Frankie,Fastfood,50,11,550,Online,female,Night,2023,February,Sunday
140,2022-06-12,Frankie,Fastfood,50,13,650,Cash,male,Night,2022,June,Sunday
141,2022-06-15,Aalopuri,Fastfood,20,4,80,desconhecido,male,Evening,2022,June,Wednesday
142,2022-12-30,Sugarcane juice,Beverages,25,12,300,Cash,female,Morning,2022,December,Friday
143,2022-09-18,Frankie,Fastfood,50,8,400,desconhecido,female,Afternoon,2022,September,Sunday
144,2022-11-17,Panipuri,Fastfood,20,10,200,Cash,female,Evening,2022,November,Thursday
145,2022-10-09,Sandwich,Fastfood,60,14,840,Online,male,Morning,2022,October,Sunday
146,2022-10-28,Frankie,Fastfood,50,4,200,desconhecido,female,Afternoon,2022,October,Friday
147,2022-05-17,Panipuri,Fastfood,20,7,140,Online,male,Evening,2022,May,Tuesday
148,2023-03-19,Sandwich,Fastfood,60,13,780,Online,male,Evening,2023,March,Sunday
149,2022-08-09,Sandwich,Fastfood,60,7,420,Online,male,Morning,2022,August,Tuesday
150,2023-01-30,Cold coffee,Beverages,40,14,560,Cash,male,Afternoon,2023,January,Monday
151,2022-07-10,Frankie,Fastfood,50,13,650,Online,female,Morning,2022,July,Sunday
152,2022-10-24,Cold coffee,Beverages,40,9,360,Online,male,Afternoon,2022,October,Monday
153,2022-07-21,Panipuri,Fastfood,20,1,20,Cash,female,Evening,2022,July,Thursday
154,2022-12-13,Vadapav,Fastfood,20,3,60,Cash,male,Night,2022,December,Tuesday
155,2023-02-07,Sugarcane juice,Beverages,25,10,250,Cash,female,Evening,2023,February,Tuesday
156,2023-03-25,Panipuri,Fastfood,20,14,280,Cash,male,Midnight,2023,March,Saturday
157,2023-02-24,Frankie,Fastfood,50,7,350,Online,female,Midnight,2023,February,Friday
158,2022-05-16,Aalopuri,Fastfood,20,2,40,desconhecido,male,Midnight,2022,May,Monday
159,2022-10-03,Sugarcane juice,Beverages,25,1,25,Online,female,Afternoon,2022,October,Monday
160,2022-07-23,Vadapav,Fastfood,20,10,200,Online,male,Night,2022,July,Saturday
161,2023-01-19,Sugarcane juice,Beverages,25,12,300,Cash,male,Evening,2023,January,Thursday
162,2022-05-07,Aalopuri,Fastfood,20,11,220,Cash,male,Midnight,2022,May,Saturday
163,2023-01-06,Frankie,Fastfood,50,6,300,Online,female,Midnight,2023,January,Friday
164,2022-08-10,Sugarcane juice,Beverages,25,7,175,Online,male,Afternoon,2022,August,Wednesday
165,2023-01-05,Sandwich,Fastfood,60,11,660,Cash,male,Midnight,2023,January,Thursday
166,2022-06-01,Panipuri,Fastfood,20,6,120,Cash,female,Evening,2022,June,Wednesday
167,2023-02-23,Cold coffee,Beverages,40,6,240,Cash,female,Morning,2023,February,Thursday
168,2022-04-19,Sandwich,Fastfood,60,4,240,Cash,female,Midnight,2022,April,Tuesday
169,2022-06-20,Vadapav,Fastfood,20,6,120,Cash,male,Morning,2022,June,Monday
170,2023-02-13,Aalopuri,Fastfood,20,6,120,desconhecido,female,Afternoon,2023,February,Monday
171,2023-03-02,Vadapav,Fastfood,20,11,220,Cash,female,Midnight,2023,March,Thursday
172,2022-08-27,Sugarcane juice,Beverages,25,6,150,Online,female,Night,2022,August,Saturday
173,2023-01-20,Cold coffee,Beverages,40,2,80,Online,male,Night,2023,January,Friday
174,2022-09-03,Aalopuri,Fastfood,20,2,40,Online,male,Evening,2022,September,Saturday
175,2022-10-17,Frankie,Fastfood,50,12,600,Cash,female,Afternoon,2022,October,Monday
176,2022-08-04,Panipuri,Fastfood,20,1,20,Cash,female,Midnight,2022,August,Thursday
177,2022-07-21,Panipuri,Fastfood,20,11,220,Online,female,Morning,2022,July,Thursday
178,2022-12-09,Aalopuri,Fastfood,20,2,40,Cash,female,Morning,2022,December,Friday
179,2023-03-03,Sugarcane juice,Beverages,25,5,125,desconhecido,female,Midnight,2023,March,Friday
180,2022-12-01,Vadapav,Fastfood,20,6,120,Online,female,Afternoon,2022,December,Thursday
181,2022-06-09,Cold coffee,Beverages,40,7,280,Cash,female,Night,2022,June,Thursday
182,2022-07-02,Cold coffee,Beverages,40,1,40,Cash,male,Midnight,2022,July,Saturday
183,2022-07-10,Sugarcane juice,Beverages,25,5,125,Cash,female,Midnight,2022,July,Sunday
184,2023-01-03,Cold coffee,Beverages,40,8,320,Cash,male,Night,2023,January,Tuesday
185,2023-01-13,Sugarcane juice,Beverages,25,15,375,desconhecido,male,Night,2023,January,Friday
186,2023-03-15,Frankie,Fastfood,50,2,100,Online,male,Afternoon,2023,March,Wednesday
187,2022-10-11,Aalopuri,Fastfood,20,15,300,Cash,female,Morning,2022,October,Tuesday
188,2022-12-28,Panipuri,Fastfood,20,14,280,Cash,female,Night,2022,December,Wednesday
189,2023-02-08,Vadapav,Fastfood,20,12,240,Online,male,Afternoon,2023,February,Wednesday
190,2022-04-26,Cold coffee,Beverages,40,1,40,Online,male,Evening,2022,April,Tuesday
191,2022-05-20,Sugarcane juice,Beverages,25,14,350,Cash,female,Morning,2022,May,Friday
192,2022-10-26,Vadapav,Fastfood,20,2,40,Online,male,Night,2022,October,Wednesday
193,2023-02-05,Cold coffee,Beverages,40,15,600,Online,female,Midnight,2023,February,Sunday
194,2022-12-15,Vadapav,Fastfood,20,4,80,Cash,female,Morning,2022,December,Thursday
195,2022-04-23,Sandwich,Fastfood,60,4,240,Cash,female,Night,2022,April,Saturday
196,2022-06-25,Sandwich,Fastfood,60,3,180,Cash,male,Evening,2022,June,Saturday
197,2022-11-08,Panipuri,Fastfood,20,10,200,Cash,female,Midnight,2022,November,Tuesday
198,2023-01-05,Frankie,Fastfood,50,15,750,Cash,male,Morning,2023,January,Thursday
199,2023-02-01,Frankie,Fastfood,50,6,300,Online,female,Morning,2023,February,Wednesday
200,2022-12-25,Cold coffee,Beverages,40,10,400,Cash,female,Morning,2022,December,Sunday
201,2022-06-30,Panipuri,Fastfood,20,8,160,Cash,male,Morning,2022,June,Thursday
202,2022-09-21,Aalopuri,Fastfood,20,9,180,Cash,male,Afternoon,2022,September,Wednesday
203,2022-04-11,Vadapav,Fastfood,20,6,120,Online,female,Midnight,2022,April,Monday
204,2022-10-24,Cold coffee,Beverages,40,7,280,Cash,female,Evening,2022,October,Monday
205,2022-10-17,Vadapav,Fastfood,20,4,80,desconhecido,male,Afternoon,2022,October,Monday
206,2022-07-27,Aalopuri,Fastfood,20,4,80,Cash,male,Night,2022,July,Wednesday
207,2023-02-20,Cold coffee,Beverages,40,8,320,Online,female,Evening,2023,February,Monday
208,2022-08-26,Cold coffee,Beverages,40,13,520,Cash,female,Midnight,2022,August,Friday
209,2022-12-04,Aalopuri,Fastfood,20,2,40,Cash,male,Night,2022,December,Sunday
210,2023-01-02,Sugarcane juice,Beverages,25,15,375,desconhecido,male,Night,2023,January,Monday
211,2022-04-18,Aalopuri,Fastfood,20,12,240,Cash,male,Morning,2022,April,Monday
212,2022-05-05,Cold coffee,Beverages,40,12,480,Online,female,Morning,2022,May,Thursday
213,2022-09-29,Vadapav,Fastfood,20,3,60,desconhecido,female,Midnight,2022,September,Thursday
214,2022-12-03,Sugarcane juice,Beverages,25,14,350,Online,male,Evening,2022,December,Saturday
215,2022-12-10,Sugarcane juice,Beverages,25,7,175,desconhecido,female,Morning,2022,December,Saturday
216,2023-03-07,Panipuri,Fastfood,20,9,180,Cash,female,Afternoon,2023,March,Tuesday
217,2023-03-23,Cold coffee,Beverages,40,10,400,Cash,male,Morning,2023,March,Thursday
218,2022-12-23,Cold coffee,Beverages,40,13,520,Online,female,Midnight,2022,December,Friday
219,2022-10-01,Aalopuri,Fastfood,20,9,180,Cash,female,Evening,2022,October,Saturday
220,2022-05-13,Sugarcane juice,Beverages,25,1,25,Cash,male,Afternoon,2022,May,Friday
221,2023-03-26,Sandwich,Fastfood,60,1,60,Online,male,Evening,2023,March,Sunday
222,2022-09-11,Sandwich,Fastfood,60,6,360,Cash,female,Morning,2022,September,Sunday
223,2022-09-21,Panipuri,Fastfood,20,13,260,Online,male,Night,2022,September,Wednesday
224,2023-03-23,Sugarcane juice,Beverages,25,14,350,Cash,male,Afternoon,2023,March,Thursday
225,2023-03-16,Frankie,Fastfood,50,11,550,Cash,female,Evening,2023,March,Thursday
226,2022-12-12,Aalopuri,Fastfood,20,13,260,Online,female,Afternoon,2022,December,Monday
227,2022-11-17,Cold coffee,Beverages,40,5,200,Cash,female,Afternoon,2022,November,Thursday
228,2022-11-05,Panipuri,Fastfood,20,8,160,Online,male,Night,2022,November,Saturday
229,2022-12-15,Panipuri,Fastfood,20,7,140,desconhecido,male,Evening,2022,December,Thursday
230,2022-04-16,Frankie,Fastfood,50,6,300,Online,male,Afternoon,2022,April,Saturday
231,2022-04-16,Sugarcane juice,Beverages,25,3,75,desconhecido,male,Night,2022,April,Saturday
232,2022-04-23,Vadapav,Fastfood,20,13,260,Cash,female,Night,2022,April,Saturday
233,2022-07-31,Panipuri,Fastfood,20,5,100,Cash,male,Morning,2022,July,Sunday
234,2022-07-27,Panipuri,Fastfood,20,10,200,Cash,male,Midnight,2022,July,Wednesday
235,2022-11-29,Sandwich,Fastfood,60,10,600,Cash,female,Afternoon,2022,November,Tuesday
236,2022-06-26,Vadapav,Fastfood,20,12,240,desconhecido,female,Evening,2022,June,Sunday
237,2022-11-08,Panipuri,Fastfood,20,13,260,Cash,female,Midnight,2022,November,Tuesday
238,2022-04-26,Vadapav,Fastfood,20,13,260,Cash,male,Morning,2022,April,Tuesday
239,2022-12-04,Frankie,Fastfood,50,4,200,Online,male,Evening,2022,December,Sunday
240,2022-12-11,Sandwich,Fastfood,60,10,600,Cash,female,Morning,2022,December,Sunday
241,2022-06-06,Sugarcane juice,Beverages,25,2,50,Cash,male,Afternoon,2022,June,Monday
242,2022-12-23,Cold coffee,Beverages,40,4,160,Online,female,Midnight,2022,December,Friday
243,2022-11-12,Panipuri,Fastfood,20,5,100,Cash,female,Midnight,2022,November,Saturday
244,2022-11-22,Sandwich,Fastfood,60,10,600,Online,female,Midnight,2022,November,Tuesday
245,2022-10-03,Vadapav,Fastfood,20,2,40,Cash,female,Morning,2022,October,Monday
246,2022-11-16,Vadapav,Fastfood,20,10,200,Cash,male,Afternoon,2022,November,Wednesday
247,2022-10-03,Sugarcane juice,Beverages,25,6,150,desconhecido,male,Midnight,2022,October,Monday
248,2022-04-17,Frankie,Fastfood,50,5,250,Online,female,Midnight,2022,April,Sunday
249,2022-10-26,Sugarcane juice,Beverages,25,3,75,Online,female,Afternoon,2022,October,Wednesday
250,2022-11-15,Sugarcane juice,Beverages,25,6,150,Online,female,Midnight,2022,November,Tuesday
251,2022-12-21,Cold coffee,Beverages,40,13,520,desconhecido,female,Afternoon,2022,December,Wednesday
252,2023-03-26,Vadapav,Fastfood,20,8,160,Online,male,Midnight,2023,March,Sunday
253,2022-06-18,Sugarcane juice,Beverages,25,13,325,Online,male,Afternoon,2022,June,Saturday
254,2022-10-09,Cold coffee,Beverages,40,12,480,desconhecido,female,Afternoon,2022,October,Sunday
255,2022-04-30,Vadapav,Fastfood,20,7,140,desconhecido,female,Afternoon,2022,April,Saturday
256,2023-03-16,Aalopuri,Fastfood,20,3,60,Online,female,Midnight,2023,March,Thursday
257,2023-01-03,Sandwich,Fastfood,60,10,600,Cash,female,Midnight,2023,January,Tuesday
258,2022-09-06,Vadapav,Fastfood,20,14,280,Cash,male,Midnight,2022,September,Tuesday
259,2022-11-18,Sandwich,Fastfood,60,4,240,Online,male,Morning,2022,November,Friday
260,2022-09-10,Sugarcane juice,Beverages,25,2,50,Online,female,Night,2022,September,Saturday
261,2023-01-11,Frankie,Fastfood,50,9,450,Cash,female,Midnight,2023,January,Wednesday
262,2023-03-05,Vadapav,Fastfood,20,5,100,desconhecido,female,Evening,2023,March,Sunday
263,2022-06-19,Panipuri,Fastfood,20,2,40,Cash,male,Evening,2022,June,Sunday
264,2022-07-18,Sugarcane juice,Beverages,25,12,300,Online,male,Morning,2022,July,Monday
265,2022-08-15,Vadapav,Fastfood,20,6,120,Cash,male,Midnight,2022,August,Monday
266,2022-10-02,Frankie,Fastfood,50,10,500,Online,female,Night,2022,October,Sunday
267,2023-03-05,Vadapav,Fastfood,20,1,20,Cash,male,Morning,2023,March,Sunday
268,2023-02-05,Cold coffee,Beverages,40,12,480,Cash,female,Midnight,2023,February,Sunday
269,2022-12-22,Panipuri,Fastfood,20,2,40,desconhecido,female,Midnight,2022,December,Thursday
270,2022-09-07,Sandwich,Fastfood,60,13,780,Cash,male,Evening,2022,September,Wednesday
271,2022-05-03,Vadapav,Fastfood,20,13,260,Cash,male,Evening,2022,May,Tuesday
272,2022-07-29,Frankie,Fastfood,50,5,250,Online,female,Night,2022,July,Friday
273,2022-08-15,Panipuri,Fastfood,20,15,300,Cash,male,Midnight,2022,August,Monday
274,2023-01-04,Sugarcane juice,Beverages,25,10,250,Online,male,Night,2023,January,Wednesday
275,2023-02-04,Vadapav,Fastfood,20,15,300,Online,male,Night,2023,February,Saturday
276,2022-09-30,Sugarcane juice,Beverages,25,6,150,Cash,male,Midnight,2022,September,Friday
277,2022-12-08,Cold coffee,Beverages,40,13,520,Cash,female,Midnight,2022,December,Thursday
278,2022-06-19,Frankie,Fastfood,50,6,300,Online,female,Night,2022,June,Sunday
279,2022-09-14,Vadapav,Fastfood,20,15,300,Cash,female,Afternoon,2022,September,Wednesday
280,2022-10-09,Panipuri,Fastfood,20,14,280,Online,female,Evening,2022,October,Sunday
281,2022-08-09,Sandwich,Fastfood,60,3,180,Cash,female,Afternoon,2022,August,Tuesday
282,2022-05-16,Vadapav,Fastfood,20,13,260,desconhecido,female,Morning,2022,May,Monday
283,2022-07-02,Panipuri,Fastfood,20,2,40,Cash,female,Midnight,2022,July,Saturday
284,2023-01-29,Frankie,Fastfood,50,7,350,desconhecido,male,Afternoon,2023,January,Sunday
285,2022-06-28,Aalopuri,Fastfood,20,3,60,desconhecido,male,Night,2022,June,Tuesday
286,2022-12-14,Vadapav,Fastfood,20,6,120,desconhecido,male,Night,2022,December,Wednesday
287,2022-08-06,Aalopuri,Fastfood,20,3,60,Cash,male,Morning,2022,August,Saturday
288,2022-08-22,Sandwich,Fastfood,60,7,420,Cash,male,Night,2022,August,Monday
289,2022-11-28,Aalopuri,Fastfood,20,7,140,Online,female,Midnight,2022,November,Monday
290,2022-05-03,Panipuri,Fastfood,20,7,140,Cash,female,Morning,2022,May,Tuesday
291,2023-01-27,Frankie,Fastfood,50,8,400,Online,female,Night,2023,January,Friday
